Aotearoa|Ōkahu-Inuāwai
Ātene (Kakata)|Ngāti Hineoneone
Hiruhārama (Patiarero)|Ngāti Hau (Te Āti Haunui-a-Pāpārangi)
Kai Iwi|Ngāti Iti
Kaipō (Wharetapapa)|Ngāti Hou Tipua
Kaiwhaiki Pā|Ngā Paerangi
Kanihi (Māwhitiwhiti)|Kanihi
Koriniti Pā (Otukopiri)|Ngāti Pāmoana
Mangamingi|Ngāti Tamakana
Manutahi (Te Takere)|Ngāti Tākou
Matahiwi (Ohotu)|Ngāti Aokehu
Meremere (Pukomoko Pā)|Ngā Ariki (Ngāti Ruanui)
Ngārongo (Ketemarae)|Araukūku
Ngātiki Pā|Hāmua (Tangahoe)
Ōeo Pā|Ngāti Tamaahuroa
Ohinemutu|
Ōrimupiko|Ngāti Haumia
Pakaraka|Ngāti Maika
Paraweka|Ngāti Kurawhatia
Parikino Pā|Ngāti Hinearo
Pariroa Pā|Ngāti Ringi
Pungarehu|Ngāti Tuera
Pūtiki Pā|Ngāti Tupoho
Raetihi (Te Puke)|Ngāti Uenukumanawawiri
Rānana (Ruakā)|Ngāti Ruakā
Taipake|Ngāti Iti
Taiporohēnui|Hāmua (Ngāti Ruanui)
Takirau|Ngāti Pourua
Tauranga Ika|Ngati Ruaiti (Ngā Rauru)
Tawhitinui (O-kare-ki-Tai)|Ngāti Haua (Ngāruahine)
Te Ao Hou|Ngāti Tupoho
Te Aroha|
Te Aroha o Tītokowaru (Ōkaiawa)|Ngāti Manuhiakai
Te Ihupuku Pā|Ngāti Hinewaiata
Te Pou o Rongo|Ngāti Ruakā
Te Rangatapu|Inuāwai
Te Tatau o Te Pō|
Te Upoko o te Whenua (Tarata)|Ngāti Maruwharanui
Te Wairoa-iti|Ngāti Tai (Ngā Rauru)
Tieke Kāinga|Ngāti Hinekura (Tamahaki)
Wai o Turi|Rangitāwhi
Waiokura|Ngāti Tū
Waiotea (Tinopai)|Te Uri o Hau (Ngāti Whātua)
Waipapa (Moumahaki)|Ngā Ariki (Ngā Rauru)
Waiwhetū|
Whakaahurangi|Ahitahi
Wharauroa|Ngāti Haua (Ngāti Hauā, Te Ātihaunui-a-Pāpārangi)
Wharepuni Pā|Ngāti Tānewai (Ngāti Ruanui)
Whenuakura|Ngāti Hine (Ngāti Ruanui)
