Akeake|Ngāi Tamarawaho
Hiruharama Hou (Te Tii)|Ngāti Rehia (Ngāpuhi)
Hungahungatoroa (Whakahinga)|Ngāi Tukairangi
Iramoko|Te Tāwera (Ngāti Awa)
Kakanui (Tīpapa)|Kākahu Tāpiki
Kāretu|Ngā Uri o Pomare II
Kauaetangohia (Whangaparāoa)|Te Whānau a Kauaetangohia
Kokohinau (Tuhimata)|Te Pahipoto
Kūhā Pā (Te Kūhā Tārewa)|Ngāti Hinekura (Ngāi Tūhoe)
Kutarere|Ūpokorehe
Maraenui Pā|Te Whānau a Hikarukutai
Maromahue|Ūpokorehe
Matahī|Ngāi Tamatuhirae
Matauri (Te Tāpui)|Ngāti Kura (Ngāpuhi)
Maungapōhatu (Te Māpou)|Tamakaimoana
Maungaroa (Kaiaio)|Te Whānau a Kaiaio
Moewhare|Moewhare
Mōkau|Te Uri o Hikihiki
Murumurunga|Ngāti Hamua ki Te Whaiti
Ngāiotonga|Te Uri o Hikihiki
Ōhotu|Te Whānau Pani (Ngāi Tūhoe)
Ōmāio|Te Whānau a Nuku
Ōmarumutu|Ngāti Ruatākenga (Ngāti Rua)
Ōmuriwaka|Ngāi Tama
Opape|Ngāi Tamahaua (Ngāi Tama)
Ōpeke|Ngāti Īrapuaia (Ngāti Ira)
Opopoti (Maungatapu)|Ngāti He
Opureora|Ngāi Tuwhiwhia
Ōpūtao|Ngāti Tāwhaki
Oruarahi (Te Rangihouhiri)|Ngāi Tamawhariua
Otekura|Kākahu-Tāpiki
Ōtenuku|Nāti Kōura
Ōtūwhare|Te Whānau a Rutaia (Te Whānau a Apanui)
Ōwhakatoro (Te Mauku)|Ngāti Rongo
Pāhāōa|Te Whānau a Kahurautao
Painoaiho|Ngāti Koro
Paneteure|Ngāti Rongo
Papakāinga|Ngāti Kōura
Pāpueru|Ngāti Tāwhaki
Piripari|Ngāi Tātua
Puawairua|Ngāti Hikakino
Pūkeko|Ngāti Pūkeko (Ngāti Awa)
Pupuaruhe (Toroa)|Ngāti Maumoana
Rāhiri|Ngāti Rere
Rangataua (Pahou Pa)|Ngāti Rangataua
Rangimarie|Ngāti Rarawhati
Rangitahi|Ngāti Hui
Rangiwaea|Ngāi Tauwhao
Rāroa|Tamaruarangi
Rewarewa|Te Māhurehure (Ngāi Tūhoe)
Rewatu|Ngāti Tamapare
Roimata|Ūpokorehe
Rongopopoia|Ūpokorehe
Ruaihona|Ngāi Tamaoki
Tahuwhakatiki - Romainohorangi (Romai)|Ngā Pōtiki (Nga Potiki a Tamapahore Trust)
Taiwhakaea (Te Paroa)|Ngāi Taiwhakaea II
Tanatana|Ngāti Rere
Tātāhoata|Ngāi Te Riu
Tātaiāhape Pā|Ngāti Raka
Tauanui|Te Whakatāne
Tauarau|Ngāti Rongo
Tauwhara|Ngāi Tawake ki te Tuawhenua
Tāwhana|Ngā Maihi (Ngāi Tūhoe)
Te Hāroto|
Te Hihitaua|Ngāti Maumoana
Te Hokowhitu a Tū ki te Rāhui|Ngāti Hokopū - Te Hokowhitu a Tu ki Te Rāhu
Te Kaha|Te Whānau a Te Ēhutu
Te Kutaroa|Ngāti Tauaiti
Te Mānuka Tūtahi|
Te Mānuka Tūtahi (Mātaatua)|Te Urewera
Te Māpou|Ngāti Hāmua (Ngāti Awa)
Te Maru o Hinemakahō|Te Whānau a Pararaki
Te Pou ā Hīnau (Pouāhīnau)|Tūranga Pikitoi
Te Putere|Ngāi Taraparoa
Te Rangihouhiri II|Ngāi Te Rangihouhiri II
Te Rereatukahia|Ngāi Tamawhariua
Te Ruakopiha|Ngāti Maumoana
Te Tōtara|Te Urewera
Te Umuroa|Ngāti Manunui (Ngāi Tūhoe)
Te Wai-iti|Kurī Kino (Ngāti Kurī)
Te Whare o Toroa (Wairaka)|Ngāti Hokopū (Ngāti Awa)
Terere|Ngāti Ngāhere
Tīpapa|Ngāi Tokowaru
Tuapiro|Ngāti Te Wai
Tuapō|Tamakaimoana
Tuariki|Tuariki
Tunapahore (Hāwai)|Te Whānau a Haraawaka
Tūteao|Ngā Maihi (Ngāti Awa)
Uiraroa|Ngāi Tamawera
Uwhiārae|Ngāi Te Paena
Waiaua|Ngāti Patumoana (Ngāti Patu)
Waikari|Ngāti Tapu
Waikirikiri|Hāmua (Ngāi Tūhoe)
Waikotikoti|Ngāti Hamua ki Te Whaiti
Waimako Pā|Te Whānau Pani (Ngāi Tūhoe)
Waiōhau|Ngāti Haka
Waiōrore|Hinetekahu
Waireporepo|
Wairūrū|Te Whānau a Maruhaeremuri
Whakarae|Te Whakatāne
Whareroa|Ngāi Tukairangi
Whitianga|Te Whānau a Tutawake
Whitiora|Ngāti Rehia (Ngāpuhi)
