Kaikou|Te Orewai (Ngāti Hine)
Kaingahoa (Mataraua)|Ngāi Tawake ki te Waoku
Kaingahoa (Rāwhiti)|Patukeha
Kāretu|Ngā Uri o Pomare II
Kawiti|
Kohewhata|Ngāti Kura (Ngāpuhi)
Kokohuia (Ōmāpere)|Ngāti Korokoro (Ngāpuhi)
Korou Kore|Ngāti Moroki
Mangamuka|Kohatutaka (Ngāpuhi)
Matai Aranui|Ngāti Kairewa
Mataitaua|Ngāti Toro
Matawaia|Ngāti Ngāherehere
Matetera|Ngāti Hurihanga
Mohinui|Ngāti Kahu o Torongare
Mokonuiārangi|Ngāi Tawake ki te Moana
Mōtatau|Ngāti Te Tarawa
Motukiore|Te Māhurehure (Ngāpuhi)
Ngai Tawake|Ngāi Tawake ki te Waoku
Ngāraratunua|Te Kahu o Torongare
Oromāhoe|Matarahurahu (Ngāpuhi)
Pā te Aroha|
Pā te Aroha (Whirinaki)|Ngāti Te Pou
Pākanae|Ngāti Korokoro (Ngāpuhi)
Pehiaweri|Ngāti Hao
Piki Te Aroha|Ngāi Tawake ki te Moana
Rangatahi|Ngāti Toro
Raukura|
Tangiterōria|Te Parawhau (Ngāpuhi, Ngāti Whātua)
Tau Henare (Pipiwai)|Te Orewai (Te Māra o Ngāti Hine)
Tauratumaru|Ngāi Tawake
Tauteihiihi|Te Ihutai (Ngāpuhi)
Te Hungaiti|Ngāti Moerewa
Te Huruhi|Ngāti Mahia
Te Iringa Marae|Ngāti Tautahi
Te Kotahitanga|Ngāti Whakaeke
Te Kotahitanga|Te Whānau ā Kopa
Te Maata|Ngāti Moerewa
Te Ngaere|Ngāi Tupango (Ngāpuhi)
Te Oruoru (Pakōtai)|Ngāti Horahia
Te Riingi (Mahuhu ki te Rangi)|Ngāti Moerewa
Te Rito|Ngāti Hine (Ngāpuhi)
Te Tii Waitangi|Ngāti Kawa
Tuhirangi (Waimā)|
Waihou (Waihou-nui-a-rua)|Ngāti Moroki
Waikare|Te Kapotai
Wainui|Ngāti Ruamahue
Waiparera|Horohuhaare
Whakaari Pukehuia|Kai Tangata
Whakaruruhau|
Wharengaere (Pa Mai Te Aroha)|Ngāti Rehia
